gene	gene_group
SOX1	Neural Stem Cells
FABP7	Neural Stem Cells
DLL1	Neural Stem Cells
HES5	Neural Stem Cells
NOTCH1	Neural Stem Cells
NES	Neural Stem Cells
SOX2	Neural Stem Cells
TUBB3	Neurons
ELAVL3	Neurons
ELAVL2	Neurons
DCX	Neurons
HMGB2	Cycling Genes
TOP2A	Cycling Genes
MKI67	Cycling Genes
FOXG1	Neocortex
EMX1	Neocortex
LHX2	Neocortex
SP8	Neocortex
PAX6	Neocortex
SFRP1	Neocortex
LHX2	Neocortex
EOMES	Neocortex
NEUROD6	Neocortex
TBR1	Neocortex
RELN	Cajal-Retzius Neuron
TP73	Cajal-Retzius Neuron
LHX1	Cajal-Retzius Neuron
RSPO1	Medial Pallium
RSPO2	Medial Pallium
RSPO3	Medial Pallium
LMX1A	Medial Pallium
FOXJ1	Medial Pallium
WNT2B	Medial Pallium
TTR	Choroid Plexus
HTR2C	Choroid Plexus
TCF7L2	Diencephalon
GBX2	Diencephalon
FZD10	Diencephalon
IRX2	Diencephalon
IRX3	Diencephalon
PROX1	Diencephalon
OLIG3	Diencephalon
SHOX2	Diencephalon
PAX3	Midbrain/Hindbrain
DMBX1	Midbrain/Hindbrain
DBX1	Midbrain/Hindbrain
EN2	Midbrain/Hindbrain
HOXA2	Midbrain/Hindbrain
HOXB2	Midbrain/Hindbrain
HOXB3	Midbrain/Hindbrain
PAX7	Midbrain/Hindbrain
PHOX2B	Midbrain/Hindbrain
BARHL1	Midbrain/Hindbrain
POU4F1	Posterior CNS/PNS
NTRK1	Posterior CNS/PNS
NEFL	Posterior CNS/PNS
SNCG	Posterior CNS/PNS
MPZ	Schwann Cells
S100B	Schwann Cells
SOX10	Schwann Cells
NGFR	Schwann Cells
VSX2	Optic Vesicle
RAX	Optic Vesicle
VAX2	Optic Vesicle
SIX6	Optic Vesicle
KRT18	Epithelial
KRT8	Epithelial
CLDN6	Epithelial
CLDN7	Epithelial
COL1A1	Mesenchyme
COL1A2	Mesenchyme
DCN	Mesenchyme
LUM	Mesenchyme
