cell_type,gene
NA,Acan
skeletal_muscle_satellite_cell,Acta2
endothelial_cell,Atxn1
skeletal_muscle_satellite_cell,Calcr
B_cell,Cd19
T_cell,Cd3g
T_cell,Cd4
T_cell,Cd8a
NA,Chad
skeletal_muscle_satellite_cell,Chodl
macrophage,Itgam
skeletal_muscle_satellite_cell,Myf5
skeletal_muscle_satellite_cell,Myod1
skeletal_muscle_satellite_cell,Pax7
mesenchymal_stem_cell,Pdgfra
endothelial_cell,Pecam1
T_cell/macrophage/B_cell,Ptprc
skeletal_muscle_satellite_cell/mesenchymal_stem_cell,Sox9
skeletal_muscle_satellite_cell/B,Vcam1
